 TITLE="PROPELLER"
 VARIABLES= "X" "Y" "Z" 
 ZONE T="BLADE    1" F=POINT, I=    41 J=    22
   0.1005420474733015E+00   0.2601506308048344E+00   0.1276552554911023E+00
   0.1033117746043167E+00   0.2612449247327656E+00   0.1233690003368354E+00
   0.1088912226474007E+00   0.2638087620277707E+00   0.1124142215603187E+00
   0.1099407589630533E+00   0.2680875696226915E+00   0.1005578350888172E+00
   0.1070592891676128E+00   0.2739104706445621E+00   0.8741250443150760E-01
   0.1022047917920534E+00   0.2802797149837770E+00   0.7151161602378620E-01
   0.9478721915299465E-01   0.2866393813354386E+00   0.5354479422870414E-01
   0.8505577866659780E-01   0.2927218415768681E+00   0.3379404365293489E-01
   0.7294955573935874E-01   0.2975996924468655E+00   0.1281352675051159E-01
   0.5967608202561507E-01   0.3006671077618521E+00  -0.9447036094437348E-02
   0.4481772037949048E-01   0.3016827873348634E+00  -0.3173446879238617E-01
   0.2818571497203840E-01   0.3009241588163120E+00  -0.5291263954392034E-01
   0.1203349103491809E-01   0.2974635880020137E+00  -0.7335013808855340E-01
  -0.5417079172186569E-02   0.2928598568297089E+00  -0.9096889770160367E-01
  -0.2235471297134022E-01   0.2869470980024975E+00  -0.1060649865889963E+00
  -0.3946854770571196E-01   0.2804611671635176E+00  -0.1174290952521913E+00
  -0.5429974027742672E-01   0.2742244257447684E+00  -0.1265258688401027E+00
  -0.6753507280084364E-01   0.2682492879265455E+00  -0.1322422351636958E+00
  -0.7913345455142372E-01   0.2640310193662276E+00  -0.1349193902812766E+00
  -0.9406684509265067E-01   0.2611253478013081E+00  -0.1302891174489924E+00
  -0.1005420474733015E+00   0.2601506308048344E+00  -0.1276552554911023E+00
  -0.1045415709652348E+00   0.2612475208599976E+00  -0.1224526072513417E+00
  -0.1121088842708565E+00   0.2634168449170216E+00  -0.1099126792246464E+00
  -0.1116321677070929E+00   0.2678261178350107E+00  -0.9925315849110113E-01
  -0.1083807098328806E+00   0.2736572058172755E+00  -0.8640083504307280E-01
  -0.1027193794197906E+00   0.2802082975467852E+00  -0.7113436191989930E-01
  -0.9583955250885243E-01   0.2864439568161537E+00  -0.5277912111792041E-01
  -0.8587318958229617E-01   0.2925298069061346E+00  -0.3320537088660254E-01
  -0.7417189367192388E-01   0.2973645742566638E+00  -0.1195193348569492E-01
  -0.5964219779310921E-01   0.3006753570448478E+00   0.9423446866655083E-02
  -0.4481772037949045E-01   0.3016827873348634E+00   0.3173446879238610E-01
  -0.2821959920454426E-01   0.3009155642182695E+00   0.5293570985738333E-01
  -0.1081115310235286E-01   0.2977239834759304E+00   0.7251221125280526E-01
   0.6234490087885021E-02   0.2929990467234389E+00   0.9039838628793222E-01
   0.2340704632719803E-01   0.2871640303036052E+00   0.1053426727708523E+00
   0.3998313533344920E-01   0.2805396456653025E+00   0.1170653803641025E+00
   0.5562116094269454E-01   0.2743479516266036E+00   0.1255560722390441E+00
   0.6922648154488324E-01   0.2684335685289208E+00   0.1310158553433262E+00
   0.8235111617487950E-01   0.2641566981982289E+00   0.1324865095344073E+00
   0.9529664145356874E-01   0.2611514855722303E+00   0.1293654878085241E+00
   0.1005420474733015E+00   0.2601506308048344E+00   0.1276552554911023E+00
   0.1008842703586942E+00   0.2790701155032858E+00   0.1371623392061690E+00
   0.1036126328592708E+00   0.2810551523696838E+00   0.1330475027573958E+00
   0.1090667732582378E+00   0.2858617442579817E+00   0.1223793276387384E+00
   0.1099140757105301E+00   0.2908805673210253E+00   0.1099187528064428E+00
   0.1069088941017951E+00   0.2959613470324425E+00   0.9539663372607837E-01
   0.1018935212843288E+00   0.3010389277615598E+00   0.7790507451826095E-01
   0.9430180733543186E-01   0.3054438402951337E+00   0.5828976830702148E-01
